548526 13474
44111 97674 0.333333
33492 98112 1.000000
5829 98588 1.000000
47276 98764 0.500000
61182 98764 0.500000
10894 99122 1.000000
68149 99188 1.000000
44825 99573 0.500000
40389 99573 0.500000
85960 100001 1.000000
30704 100579 1.000000
79592 100920 1.000000
37216 101008 0.333333
88924 101008 0.333333
60549 101008 0.333333
32026 101413 0.500000
51830 101413 0.500000
60937 101631 0.500000
45101 101631 0.500000
3120 101939 0.333333
65985 101939 0.333333
14992 101939 0.333333
60351 101983 1.000000
28879 102134 1.000000
27841 102198 0.333333
27451 102198 0.333333
49271 102198 0.333333
42761 102756 0.500000
58894 102756 0.500000
70863 102898 1.000000
53349 102931 1.000000
91784 102978 1.000000
59908 102999 1.000000
90872 103060 0.250000
53482 103060 0.250000
29195 103060 0.250000
78412 103060 0.250000
60937 103133 0.333333
45101 103133 0.333333
101631 103133 0.333333
94800 103148 1.000000
75858 103232 0.200000
93974 103232 0.200000
42712 103232 0.200000
33081 103232 0.200000
53054 103232 0.200000
82549 103379 0.500000
45847 103379 0.500000
77024 103400 0.200000
8481 103400 0.200000
91252 103400 0.200000
21046 103400 0.200000
14906 103400 0.200000
30704 103897 0.500000
100579 103897 0.500000
50157 103921 0.500000
43606 103921 0.500000
4092 104191 1.000000
30623 104494 1.000000
89139 105230 1.000000
95539 105238 0.333333
31348 105238 0.333333
19767 105238 0.333333
3425 105548 1.000000
16912 105595 0.333333
91945 105595 0.333333
35115 105595 0.333333
46170 105792 0.500000
61405 105792 0.500000
32015 105873 1.000000
84392 106093 0.500000
49756 106093 0.500000
84392 106103 0.500000
49756 106103 0.500000
55481 106336 0.500000
52199 106336 0.500000
19002 106810 1.000000
33138 107110 1.000000
82610 107111 0.500000
33227 107111 0.500000
57824 107186 0.500000
82730 107186 0.500000
103232 107269 1.000000
7563 107678 1.000000
58742 107856 1.000000
64259 107976 0.250000
77793 107976 0.250000
8619 107976 0.250000
100452 107976 0.250000
64259 108073 0.250000
77793 108073 0.250000
8619 108073 0.250000
107976 108073 0.250000
91645 108191 0.500000
70863 108191 0.500000
29036 108247 0.500000
77589 108247 0.500000
13867 108325 0.500000
43967 108325 0.500000
58894 108405 1.000000
59908 108504 0.500000
102999 108504 0.500000
99188 108584 0.333333
74213 108584 0.333333
38942 108584 0.333333
67802 109100 0.500000
67407 109100 0.500000
59771 109204 0.500000
35284 109204 0.500000
16051 109271 1.000000
59908 109351 0.500000
102999 109351 0.500000
66791 109368 1.000000
43061 109415 1.000000
57824 109422 0.250000
90608 109422 0.250000
82730 109422 0.250000
107186 109422 0.250000
92465 109590 1.000000
55047 109596 1.000000
92800 109808 1.000000
54269 109859 0.500000
21599 109859 0.500000
86908 109891 1.000000
10734 110039 1.000000
57683 110102 0.500000
14372 110102 0.500000
9169 110248 1.000000
61571 110252 0.500000
68613 110252 0.500000
60897 110288 0.333333
15708 110288 0.333333
85733 110288 0.333333
5384 110507 1.000000
5384 110512 0.500000
110507 110512 0.500000
84256 110514 0.500000
95613 110514 0.500000
17284 110523 1.000000
5384 110748 0.333333
110507 110748 0.333333
110512 110748 0.333333
14280 110854 1.000000
53841 111123 1.000000
84256 111861 0.500000
110514 111861 0.500000
62586 111985 0.500000
38006 111985 0.500000
2683 112014 1.000000
41073 112127 1.000000
12681 112668 0.500000
26230 112668 0.500000
35242 112685 0.333333
7651 112685 0.333333
62164 112685 0.333333
112813 112814 1.000000
112813 112821 0.500000
112814 112821 0.500000
112813 112823 0.333333
112814 112823 0.333333
112821 112823 0.333333
74852 113192 0.500000
14981 113192 0.500000
43288 113369 1.000000
60897 114293 0.500000
44578 114293 0.500000
109595 114378 1.000000
109595 114379 1.000000
68284 114393 0.500000
2223 114393 0.500000
9169 114513 1.000000
110288 114561 0.250000
60897 114561 0.250000
44578 114561 0.250000
15708 114561 0.250000
23490 114651 1.000000
83941 114686 1.000000
114686 114690 0.500000
114687 114690 0.500000
43938 114756 0.333333
68489 114756 0.333333
19994 114756 0.333333
60967 114872 1.000000
65360 115070 1.000000
66432 115952 0.500000
97383 115952 0.500000
24448 116210 0.333333
3425 116210 0.333333
105548 116210 0.333333
29915 116597 0.333333
83619 116597 0.333333
90239 116597 0.333333
67412 116840 0.500000
62813 116840 0.500000
60709 117427 1.000000
60683 117486 1.000000
30922 117542 1.000000
28879 117609 1.000000
80153 117848 0.500000
30012 117848 0.500000
48053 117923 0.500000
69831 117923 0.500000
8720 118030 0.333333
49211 118030 0.333333
78517 118030 0.333333
32428 118086 1.000000
10627 118088 0.142857
10596 118088 0.142857
10598 118088 0.142857
10599 118088 0.142857
59821 118088 0.142857
10609 118088 0.142857
10613 118088 0.142857
34069 118346 1.000000
16648 118433 1.000000
108584 118620 0.500000
68149 118620 0.500000
4068 118909 0.200000
85992 118909 0.200000
11498 118909 0.200000
73615 118909 0.200000
94324 118909 0.200000
49681 118929 0.333333
40389 118929 0.333333
99573 118929 0.333333
98588 118943 0.333333
13732 118943 0.333333
5829 118943 0.333333
2770 119246 0.200000
20182 119246 0.200000
20183 119246 0.200000
20185 119246 0.200000
20186 119246 0.200000
116210 119813 1.000000
77776 119948 0.500000
60709 119948 0.500000
95025 120216 0.333333
96570 120216 0.333333
22383 120216 0.333333
95376 120294 0.500000
75287 120294 0.500000
12681 120595 1.000000
12681 120631 0.333333
120595 120631 0.333333
112668 120631 0.333333
14698 120990 1.000000
65611 121302 0.500000
112477 121302 0.500000
121006 121475 1.000000
81957 121596 0.166667
94166 121596 0.166667
78488 121596 0.166667
6170 121596 0.166667
32892 121596 0.166667
113150 121596 0.166667
77776 121609 0.500000
60709 121609 0.500000
57001 121673 1.000000
16019 121794 0.500000
66620 121794 0.500000
92465 121926 0.500000
109590 121926 0.500000
8183 121944 0.333333
18668 121944 0.333333
2991 121944 0.333333
120216 122110 0.500000
96570 122110 0.500000
13752 122728 0.333333
22979 122728 0.333333
43798 122728 0.333333
40389 123091 1.000000
10149 123304 0.200000
56711 123304 0.200000
112428 123304 0.200000
70028 123304 0.200000
30877 123304 0.200000
59908 123529 0.500000
102999 123529 0.500000
20761 123563 0.250000
37316 123563 0.250000
47014 123563 0.250000
76302 123563 0.250000
84512 123900 0.200000
4804 123900 0.200000
26284 123900 0.200000
91726 123900 0.200000
66802 123900 0.200000
118433 124176 1.000000
102198 124244 0.500000
49271 124244 0.500000
98112 124351 0.333333
65513 124351 0.333333
33492 124351 0.333333
24448 124599 0.500000
91196 124599 0.500000
97674 124690 0.333333
4005 124690 0.333333
44111 124690 0.333333
30627 124819 0.200000
59908 124819 0.200000
123529 124819 0.200000
4365 124819 0.200000
102999 124819 0.200000
4465 124908 1.000000
54074 126115 1.000000
7916 126382 0.500000
88597 126382 0.500000
114378 126430 1.000000
114378 126433 0.333333
109595 126433 0.333333
114379 126433 0.333333
16457 126438 1.000000
126433 126441 0.200000
114378 126441 0.200000
114379 126441 0.200000
109595 126441 0.200000
126430 126441 0.200000
99505 126694 1.000000
90577 126741 1.000000
73054 126757 0.500000
14599 126757 0.500000
40389 127273 0.200000
118929 127273 0.200000
49681 127273 0.200000
99573 127273 0.200000
44825 127273 0.200000
49098 127277 1.000000
96158 127568 1.000000
2641 127711 0.250000
115070 127711 0.250000
78497 127711 0.250000
84342 127711 0.250000
53482 127731 1.000000
103232 127819 1.000000
68489 128060 1.000000
91182 128125 0.500000
83103 128125 0.500000
59577 128608 0.500000
127991 128608 0.500000
12500 128645 0.500000
18853 128645 0.500000
4092 128901 0.500000
104191 128901 0.500000
13169 128999 1.000000
30012 129164 1.000000
106810 129187 1.000000
57683 129389 0.333333
14372 129389 0.333333
110102 129389 0.333333
33138 129663 1.000000
61337 129710 1.000000
65611 129804 0.500000
121302 129804 0.500000
109859 129913 0.333333
54269 129913 0.333333
21599 129913 0.333333
89139 129923 0.500000
105230 129923 0.500000
46382 130396 1.000000
11153 130418 0.333333
97257 130418 0.333333
49254 130418 0.333333
20353 130580 0.333333
36212 130580 0.333333
19006 130580 0.333333
76608 130722 0.500000
88760 130722 0.500000
119305 130923 1.000000
176 131232 1.000000
49737 131647 1.000000
32514 131925 0.500000
107918 131925 0.500000
56368 132000 0.333333
31915 132000 0.333333
79164 132000 0.333333
6690 132503 0.200000
52005 132503 0.200000
62603 132503 0.200000
53841 132503 0.200000
111123 132503 0.200000
176 132531 0.500000
131232 132531 0.500000
176 132725 0.500000
132531 132725 0.500000
126441 132756 0.333333
114378 132756 0.333333
114379 132756 0.333333
126441 132763 0.250000
114378 132763 0.250000
132756 132763 0.250000
126430 132763 0.250000
55674 132830 0.500000
3123 132830 0.500000
102931 132915 0.333333
53349 132915 0.333333
86455 132915 0.333333
48550 133069 1.000000
56946 133099 0.500000
80954 133099 0.500000
99505 133115 0.500000
126694 133115 0.500000
15316 133589 0.500000
13837 133589 0.500000
91784 133777 0.500000
14372 133777 0.500000
21193 133887 1.000000
26594 133904 1.000000
46750 134247 1.000000
60351 134328 1.000000
11153 134358 0.250000
130418 134358 0.250000
69843 134358 0.250000
49254 134358 0.250000
61938 134831 1.000000
30209 134925 0.125000
16648 134925 0.125000
91944 134925 0.125000
44363 134925 0.125000
59662 134925 0.125000
124176 134925 0.125000
115348 134925 0.125000
121174 134925 0.125000
132737 135088 1.000000
122929 135302 0.500000
72095 135302 0.500000
91945 135311 0.500000
35115 135311 0.500000
80392 135867 0.333333
41377 135867 0.333333
53293 135867 0.333333
53198 136177 1.000000
136177 136179 1.000000
28513 136210 0.500000
51175 136210 0.500000
104494 136452 1.000000
62080 136713 1.000000
34871 136771 1.000000
53541 136916 0.333333
90508 136916 0.333333
47917 136916 0.333333
60792 136948 1.000000
13752 136953 0.333333
22979 136953 0.333333
87311 136953 0.333333
61182 137182 1.000000
95539 137338 0.333333
105238 137338 0.333333
19767 137338 0.333333
120977 137880 0.500000
132830 137880 0.500000
30704 137990 0.500000
103897 137990 0.500000
13083 138186 0.500000
50229 138186 0.500000
126757 138428 0.250000
113773 138428 0.250000
73054 138428 0.250000
14599 138428 0.250000
125100 138446 0.250000
31197 138446 0.250000
10654 138446 0.250000
110509 138446 0.250000
91655 138501 1.000000
73719 138828 1.000000
100918 138913 1.000000
121302 139178 1.000000
114393 139407 0.500000
2223 139407 0.500000
44801 139410 0.333333
94324 139410 0.333333
61167 139410 0.333333
12517 139490 0.500000
65503 139490 0.500000
18596 139914 0.166667
66791 139914 0.166667
109368 139914 0.166667
106195 139914 0.166667
36535 139914 0.166667
10584 139914 0.166667
63848 140014 0.250000
30849 140014 0.250000
34477 140014 0.250000
6854 140014 0.250000
32821 140298 1.000000
74023 140392 1.000000
42284 140949 0.500000
52236 140949 0.500000
98112 141157 0.250000
65513 141157 0.250000
33492 141157 0.250000
124351 141157 0.250000
32428 141599 0.500000
118086 141599 0.500000
76984 142583 1.000000
55464 142708 0.500000
18761 142708 0.500000
5456 143159 0.500000
110523 143159 0.500000
120216 143298 1.000000
72095 143438 1.000000
84915 143456 1.000000
120977 143495 0.333333
140689 143495 0.333333
3123 143495 0.333333
73765 143573 1.000000
139914 143589 1.000000
13732 143608 0.200000
5829 143608 0.200000
48968 143608 0.200000
98588 143608 0.200000
118943 143608 0.200000
111008 143714 1.000000
14280 143979 0.500000
110854 143979 0.500000
14245 144069 1.000000
140392 144255 0.500000
74023 144255 0.500000
59313 144738 1.000000
22383 144759 0.200000
95025 144759 0.200000
120216 144759 0.200000
96570 144759 0.200000
122110 144759 0.200000
53349 144919 0.500000
134831 144919 0.500000
18596 144982 0.100000
66791 144982 0.100000
139914 144982 0.100000
70924 144982 0.100000
4177 144982 0.100000
109368 144982 0.100000
106195 144982 0.100000
36535 144982 0.100000
10584 144982 0.100000
9179 144982 0.100000
89139 145106 0.333333
129923 145106 0.333333
105230 145106 0.333333
132915 145293 1.000000
84915 145526 1.000000
120216 145667 0.333333
96570 145667 0.333333
144759 145667 0.333333
120216 145796 0.333333
96570 145796 0.333333
144759 145796 0.333333
94558 146062 1.000000
120942 146227 1.000000
92707 146527 1.000000
146593 146661 1.000000
27504 146955 0.250000
145537 146955 0.250000
60683 146955 0.250000
117486 146955 0.250000
11799 147132 1.000000
24373 147147 1.000000
20353 147273 0.500000
130580 147273 0.500000
40924 147766 1.000000
75306 147833 0.500000
21397 147833 0.500000
124819 148039 0.333333
59908 148039 0.333333
102999 148039 0.333333
114756 149140 0.200000
103379 149140 0.200000
82549 149140 0.200000
45847 149140 0.200000
128060 149140 0.200000
93866 149190 0.250000
41233 149190 0.250000
80426 149190 0.250000
46638 149190 0.250000
61405 149197 1.000000
87944 149459 0.500000
40257 149459 0.500000
70500 149495 0.125000
116581 149495 0.125000
120294 149495 0.125000
3210 149495 0.125000
51116 149495 0.125000
141201 149495 0.125000
75287 149495 0.125000
69404 149495 0.125000
149495 149852 1.000000
59771 149985 0.500000
124094 149985 0.500000
101939 150038 1.000000
78652 150058 0.500000
83623 150058 0.500000
49952 150470 1.000000
109415 150543 1.000000
62953 150611 1.000000
93547 150741 1.000000
61571 151094 0.333333
110252 151094 0.333333
68613 151094 0.333333
143438 151254 0.333333
135302 151254 0.333333
72095 151254 0.333333
149495 151410 0.500000
75287 151410 0.500000
21193 151531 1.000000
39542 151748 1.000000
39539 151750 0.500000
151748 151750 0.500000
39539 151751 0.333333
151748 151751 0.333333
39542 151751 0.333333
135652 152314 1.000000
53482 152320 0.333333
29195 152320 0.333333
127731 152320 0.333333
51511 152623 1.000000
26230 152758 1.000000
66574 152778 1.000000
94085 152903 1.000000
41377 153075 0.333333
135867 153075 0.333333
7548 153075 0.333333
36684 153130 0.500000
16750 153130 0.500000
149985 153287 1.000000
103133 153491 0.250000
60937 153491 0.250000
45101 153491 0.250000
101631 153491 0.250000
88597 153577 0.250000
7916 153577 0.250000
86421 153577 0.250000
126382 153577 0.250000
153577 153687 0.500000
86421 153687 0.500000
64751 153838 1.000000
62953 153965 0.250000
62586 153965 0.250000
111985 153965 0.250000
38006 153965 0.250000
143438 154047 0.333333
135302 154047 0.333333
72095 154047 0.333333
4891 154368 1.000000
61337 154384 0.500000
129710 154384 0.500000
20761 154417 0.500000
47014 154417 0.500000
41073 154604 1.000000
103232 154963 0.500000
93974 154963 0.500000
93866 154979 0.250000
41233 154979 0.250000
80426 154979 0.250000
149190 154979 0.250000
154604 155103 1.000000
153075 155151 1.000000
75183 155666 1.000000
42080 155864 0.333333
48627 155864 0.333333
46728 155864 0.333333
16164 156021 1.000000
152623 156415 1.000000
75000 156489 1.000000
144045 156667 1.000000
24632 156987 0.500000
82995 156987 0.500000
59908 157047 0.500000
102999 157047 0.500000
10539 157060 1.000000
4406 157089 1.000000
53841 157258 0.250000
62603 157258 0.250000
89325 157258 0.250000
132503 157258 0.250000
14280 157587 0.333333
143979 157587 0.333333
110854 157587 0.333333
82610 157724 0.333333
33227 157724 0.333333
107111 157724 0.333333
62450 157901 1.000000
153577 158497 0.250000
7916 158497 0.250000
88597 158497 0.250000
126382 158497 0.250000
92707 158577 0.166667
88071 158577 0.166667
109100 158577 0.166667
31185 158577 0.166667
88664 158577 0.166667
67802 158577 0.166667
35472 158841 0.500000
1806 158841 0.500000
102898 158928 1.000000
80392 159053 0.250000
135867 159053 0.250000
7548 159053 0.250000
155151 159053 0.250000
118232 159229 1.000000
133562 159868 0.250000
144713 159868 0.250000
125994 159868 0.250000
65060 159868 0.250000
51660 159929 0.200000
43798 159929 0.200000
13752 159929 0.200000
136953 159929 0.200000
13146 159929 0.200000
28513 159972 1.000000
139410 160049 0.500000
118909 160049 0.500000
73719 160179 1.000000
15076 160253 0.333333
65021 160253 0.333333
159862 160253 0.333333
135499 160294 1.000000
79671 160536 1.000000
37384 160818 0.250000
153130 160818 0.250000
36684 160818 0.250000
16750 160818 0.250000
146955 161336 0.500000
121926 161336 0.500000
62953 161395 1.000000
77776 161472 0.500000
60709 161472 0.500000
74914 161631 0.500000
13083 161631 0.500000
81011 161781 0.500000
88567 161781 0.500000
49830 161796 0.200000
12904 161796 0.200000
67416 161796 0.200000
68152 161796 0.200000
18493 161796 0.200000
41377 161949 0.250000
135867 161949 0.250000
7548 161949 0.250000
153075 161949 0.250000
134925 162112 0.500000
63647 162112 0.500000
130970 162263 1.000000
132836 162294 1.000000
74720 162314 0.500000
147766 162314 0.500000
74012 162579 1.000000
24448 162613 0.333333
91196 162613 0.333333
124599 162613 0.333333
67990 162679 0.250000
34379 162679 0.250000
95461 162679 0.250000
4262 162679 0.250000
47947 162804 0.500000
123949 162804 0.500000
159868 162977 1.000000
62080 163046 0.250000
43657 163046 0.250000
80682 163046 0.250000
136713 163046 0.250000
